attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
RoadDensity1000	"Length of the total road network (including primary, secondary, residential, and service roads) in a 1,000-m buffer area around each lake compared to the land area in the buffer"	numeric	kilometersPerKilometerSquared			
RoadDensity1500	"Length of the total road network (including primary, secondary, residential, and service roads) in a 1,500-m buffer area around each lake compared to the land area in the buffer"	numeric	kilometersPerKilometerSquared			
LandImperviousBin100	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 100-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin200	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 200-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin300	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 300-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin400	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 400-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin500	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 500-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin1000	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 1,000-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousBin1500	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 1,500-m buffer surrounding each lake. Calculated from datasets with binary pixels (Method 1)."	numeric	dimensionless		NA	Method of estimation results in NA for European Lakes.
LandImperviousPer100	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 100-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer200	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 200-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer300	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 300-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer400	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 400-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer500	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 500-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer1000	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 1,000-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
LandImperviousPer1500	"Percent of all impenetrable artificial surfaces (including roadways, parking lots, and building roofs) in a 15,00-m buffer surrounding each lake. Calculated from datasets with percentage pixels (Method 2)."	numeric	dimensionless		NA	Method of estimation results in NA for Canadian Lakes.
